db	species	provider.name	provider.url	genebuild.method	genebuild.start_date	genebuild.last_geneset_update	genebuild.version	assembly.date	assembly.default	assembly.name	assembly.accession
aegilops_tauschii_core_25_78_1	aegilops_tauschii	BGI	http://gigadb.org/dataset/100054	Generated from ENA annotation	2014-05-BGI	2013-12	2013-12-BGI	2013-12	GCA_000347335.1	ASM34733v1	GCA_000347335.1
amborella_trichopoda_core_25_78_1	amborella_trichopoda	Amborella Genome Database	http://www.amborella.org/	Generated from ENA annotation	2013-10-AGD	2014-01	2014-01-AGD	2014-01	GCA_000471905.1	AMTR1.0	GCA_000471905.1
arabidopsis_lyrata_core_25_78_10	arabidopsis_lyrata	JGI	http://genome.jgi-psf.org/Araly1/Araly1.info.html	Imported from JGI-Phytozome	2008-12-JGI	2008-12	2008-12-Araly1.0	2008-12	v.1.0	v.1.0	GCA_000004255.1
arabidopsis_thaliana_core_25_78_10	arabidopsis_thaliana	TAIR	http://www.arabidopsis.org/	Imported from TAIR	2010-09-TAIR	2010-09	2010-09-TAIR10	2010-09	TAIR10	TAIR10	GCA_000001735.1
brachypodium_distachyon_core_25_78_12	brachypodium_distachyon	Brachypodium.org	http://brachypodium.org	Imported from JGI-Phytozome	2010-02-JGI		2010-02-Brachy1.2	2009-01	v1.0	v1.0	GCA_000005505.1
brassica_oleracea_core_25_78_1	brassica_oleracea	CanSeq		import	2014-05-CanSeq	2014-05	v2.1		v2.1	v2.1	GCA_000695525.1
brassica_rapa_core_25_78_1	brassica_rapa	IVFCAAS	http://brassicadb.org/brad/	Imported from IVFCAAS by BrassEnsembl	2012-03-IVFCAAS	2012-05	bra_v1.01_SP2010_01	2009-08	IVFCAASv1	IVFCAASv1	GCA_000309985.1
chlamydomonas_reinhardtii_core_25_78_1	chlamydomonas_reinhardtii	JGI	http://www.jgi.doe.gov/chlamy	Generated from ENA and UniProtKB annotation	2012-11-JGI	2012-11	2007-11-ENA	2007-11	v3.1	v3.1	GCA_000002595.2
cyanidioschyzon_merolae_core_25_78_1	cyanidioschyzon_merolae	European Nucleotide Archive, Cyanidioschyzon merolae Genome Project	http://www.ebi.ac.uk/ena/data/view/AB002583, http://merolae.biol.s.u-tokyo.ac.jp/	Generated from ENA and UniProtKB annotation	2003-05-ENA	2008-11	2008-11-ENA	2008-11	ASM9120v1	ASM9120v1	GCA_000091205.1
glycine_max_core_25_78_1	glycine_max	JGI	http://www.phytozome.net/soybean	Imported from JGI-Phytozome	2012-07-JGI		JGI-Glyma-1.1	2010-01	V1.0	V1.0	GCA_000004515.1
hordeum_vulgare_core_25_78_2	hordeum_vulgare	IBSC	http://barleygenome.org	import	2014-05-IBSC_1.0		IBSC_1.0	2012-03	082214v1	IBSC_1.0	GCA_000326085.1
leersia_perrieri_core_25_78_14	leersia_perrieri	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation	2013-09-OGE		2013-09-OGE	2014-03	Lperr_V1.4	Lperr_V1.4	GCA_000325765.3
medicago_truncatula_core_25_78_1	medicago_truncatula	IMGAG	http://www.medicago.org/genome/IMGAG/	Generated from ENA annotation	2011-08-IMGAG	2011-11	2011-11-EnsemblPlants	2011-11	GCA_000219495.1	MedtrA17_3.5	GCA_000219495.1
musa_acuminata_core_25_78_1	musa_acuminata	CIRAD	http://banana-genome.cirad.fr/	import	2012-08-Cirad	2012-08	2012-08-Cirad	2012-08	MA1	MA1	GCA_000313855.1
